(0,0)
(1,0)
(2,0)
(3,0)
(4,0)
(4,1)
(4,2)
(0,4)
(0,5)
(0,6)
(1,6)
(2,6)
(3,6)
(4,6)
(6,0)
(4,3)
(0,3)
(1,3)
(2,3)
(3,3)
(4,3)
(7,0)
(8,0)
(9,0)
(10,0)
(6,1)
(10,1)
(6,2)
(10,2)
(6,3)
(10,3)
(6,4)
(10,4)
(6,5)
(10,5)
(6,6)
(7,6)
(8,6)
(16,1)
(16,2)
(16,3)
(12,3)
(13,3)
(14,3)
(15,3)
(16,3)
(12,4)
(12,5)
(12,6)
(13,6)
(14,6)
(15,6)
(16,6)
(12,0)
(13,0)
(14,0)
(15,0)
(16,0)
(16,1)
(16,2)
(16,3)
(12,3)
(14,6)
(15,6)
(16,6)
(18,0)
(19,0)
(20,0)
(9,6)
(10,6)
(12,0)
(13,0)
(14,0)
(15,0)
(4,3)
(0,3)
(1,3)
(2,3)
(3,3)
(4,3)
(16,0)
(21,0)
(22,0)
(22,1)
(22,2)
(18,3)
(13,3)
(14,3)
(15,3)
(16,3)
(12,4)
(4,3)
(0,3)
(1,3)
(2,3)
(3,3)
(4,3)
(12,5)
(12,6)
(13,6)
(13,3)
(14,3)
(15,3)
(16,3)
(12,4)
(12,5)
(12,6)
(13,6)
(20,6)
(21,6)
(22,6)
(19,3)
(20,3)
(21,3)
(22,3)
(22,4)
(22,5)
(18,6)
(19,6)
